RelationId,ClassId,TimeDays,TimeStart,TimeLength,TimeWeeks,TimePenalty
1,1,0000100,168,46,011110111111110,0
2,2,1000000,96,46,011111011111110,0
3,2,0000100,96,46,011110111111110,0
4,2,1000000,108,46,011111011111110,0
5,2,0000100,108,46,011110111111110,0
6,2,1000000,120,46,011111011111110,0
7,2,0000100,120,46,011110111111110,0
8,2,1000000,132,46,011111011111110,0
9,2,0000100,132,46,011110111111110,2
10,2,1000000,144,46,011111011111110,0
11,2,0000100,144,46,011110111111110,2
12,2,1000000,156,46,011111011111110,0
13,2,0000100,156,46,011110111111110,2
14,2,1000000,168,46,011111011111110,0
15,2,0000100,168,46,011110111111110,2
16,2,1000000,180,46,011111011111110,2
17,2,0000100,180,46,011110111111110,2
18,2,1000000,192,46,011111011111110,2
19,2,0000100,192,46,011110111111110,2
20,3,0100000,168,22,011111111111110,0
21,4,1000000,144,46,011111011111110,0
22,5,1000000,196,39,010101010101010,0
23,6,0010000,196,39,001010101010100,0
24,7,1000000,96,22,011111011111110,0
25,7,0100000,96,22,011111111111110,0
26,7,0010000,96,22,011111111111110,0
27,7,0001000,96,22,011111111111110,0
28,7,0000100,96,22,011110111111110,0
29,7,1000000,120,22,011111011111110,0
30,7,0100000,120,22,011111111111110,0
31,7,0010000,120,22,011111111111110,0
32,7,0001000,120,22,011111111111110,0
33,7,0000100,120,22,011110111111110,0
34,7,1000000,144,22,011111011111110,10
35,7,0100000,144,22,011111111111110,10
36,7,0010000,144,22,011111111111110,10
37,7,0001000,144,22,011111111111110,10
38,7,0000100,144,22,011110111111110,10
39,7,1000000,168,22,011111011111110,10
40,7,0100000,168,22,011111111111110,10
41,7,0010000,168,22,011111111111110,10
42,7,0001000,168,22,011111111111110,10
43,7,0000100,168,22,011110111111110,12
44,7,0100000,192,22,011111111111110,10
45,7,0010000,192,22,011111111111110,10
46,7,0000100,192,22,011110111111110,12
47,7,0100000,216,22,011111111111110,12
48,7,0010000,216,22,011111111111110,12
